Genus,d.PS79.178.20m_p.fastq,d.PS79.178.60m_p.fastq,d.PS79.179.20m_p.fastq,d.PS79.179.60m_p.fastq,d.PS79.193.20m_p.fastq,d.PS79.193.60m_p.fastq,d.PS79.241.20m_p.fastq,d.PS79.241.60m_p.fastq,d.PS79.262.20m_p.fastq,d.PS79.262.60m_p.fastq,d.PS79.287.20m_p.fastq,d.PS79.287.60m_p.fastq,d.PS79.296.20m_p.fastq,d.PS79.296.60m_p.fastq,d.PS79.297.20m_p.fastq,d.PS79.297.60m_p.fastq,d.PS79.298.20m_p.fastq,d.PS79.298.60m_p.fastq,d.PS79.300.20m_p.fastq,d.PS79.300.60m_p.fastq,d.PS79.302.20m_p.fastq,d.PS79.302.60m_p.fastq,d.PS79.304.20m_p.fastq,d.PS79.304.70m_p.fastq,d.PS79.306.20m_p.fastq,d.PS79.306.60m_p.fastq,d.PS79.307.20m_p.fastq,d.PS79.307.60m_p.fastq,d.PS79.308.20m_p.fastq,d.PS79.311.20m_p.fastq,d.PS79.311.60m_p.fastq,d.PS79.312.20m_p.fastq,d.PS79.312.60m_p.fastq,d.PS79.313.20m_p.fastq,d.PS79.314.20m_p.fastq,d.PS79.314.60m_p.fastq,d.PS79.315.20m_p.fastq,d.PS79.315.60m_p.fastq,d.PS79.317.20m_p.fastq,d.PS79.317.60m_p.fastq,d.PS79.318.20m_p.fastq,d.PS79.318.50m_p.fastq,d.PS79.319.20m_p.fastq,d.PS79.319.60m_p.fastq,d.PS79.320.20m_p.fastq,d.PS79.320.60m_p.fastq,d.PS79.321.20m_p.fastq,d.PS79.321.60m_p.fastq,d.PS79.322.20m_p.fastq,d.PS79.322.60m_p.fastq,d.PS79.323.20m_p.fastq,d.PS79.323.60m_p.fastq,d.PS79.324.20m_p.fastq,d.PS79.324.60m_p.fastq,d.PS79.326.20m_p.fastq,d.PS79.326.60m_p.fastq,d.PS79.329.20m_p.fastq,d.PS79.329.60m_p.fastq,d.PS79.330.20m_p.fastq,d.PS79.330.60m_p.fastq
Prochlorococcus_MIT9313_1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,1141,1354,2300,615,3227,387,4960,3662,3516,3396,3965,2785,6,4684,2859,2829,3081,0,2087,3347,1073,26,2094,17,16,0,332,177,1325,1130,208,214,918,158,0,3046,0,8,0,0,0,0
Sphingomonas_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,5,0
Prochlorococcus_MIT9313_3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,437,493,816,516,1293,489,1356,1425,845,1455,1108,786,0,1110,795,1206,1222,0,920,1470,516,12,1016,8,7,0,117,81,474,450,89,85,402,83,4,1056,22,15,0,0,0,0
Prochlorococcus_MIT9313_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,421,314,307,1045,652,878,0,77,0,27,0,13,0,0,5,0,0,1914,0,16,0,0,0,24,0,0,0,0,7,3,74,20,739,223,1633,0,1868,713,16,0,0,0
Clade_Ia_5,536,76,153,0,0,88,39,0,133,0,46,24,286,394,617,389,399,831,493,361,382,217,500,432,308,322,212,229,231,225,0,184,271,196,483,531,302,524,317,85,343,253,402,62,617,519,524,385,493,475,619,543,634,310,888,462,554,521,313,288
Clade_Ia_6,194,40,6,0,0,0,0,0,0,0,0,0,216,269,368,284,311,374,508,294,218,229,283,345,263,306,114,202,182,108,0,89,119,184,304,434,265,366,267,102,268,230,455,97,599,468,541,366,584,545,546,363,425,257,505,321,752,672,383,378
Clade_Ia_7,24,0,0,0,1,0,3,0,0,0,0,0,27,36,39,22,64,92,572,448,479,286,358,259,350,243,227,114,284,227,0,194,416,314,459,361,330,212,174,126,257,105,1125,61,681,680,600,394,700,470,447,429,470,291,513,380,414,342,257,305
Clade_Ia_8,263,0,0,0,0,0,0,0,0,0,0,0,455,573,371,257,693,546,334,43,19,64,20,138,0,11,0,0,0,0,0,0,0,0,0,0,0,15,6,52,7,18,213,33,518,298,579,444,1034,443,476,376,250,0,343,155,1763,1670,1847,1059
Prochlorococcus_MIT9313_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,0,328,0,425,0,5,0,0,0,0,0,0,0,0,0,188,0,86,99,69,2,313,29,5,0,85,0,17,9,105,6,69,78,0,208,1160,0,0,0,0
Synechococcus_CC9902_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,217,196,147,236,148,78,76,22,42,21,19,0,20,30,0,46,111,103,690,189,6,270,14,804,13,996,141,438,581,1054,271,0,485,113,25,239,92,0,0,0,0
