Genus,r.PS79.178.20m_p.fastq,r.PS79.178.60m_p.fastq,r.PS79.179.20m_p.fastq,r.PS79.179.60m_p.fastq,r.PS79.193.20m_p.fastq,r.PS79.193.60m_p.fastq,r.PS79.241.20m_p.fastq,r.PS79.241.60m_p.fastq,r.PS79.262.20m_p.fastq,r.PS79.262.60m_p.fastq,r.PS79.287.20m_p.fastq,r.PS79.287.60m_p.fastq,r.PS79.296.20m_p.fastq,r.PS79.296.60m_p.fastq,r.PS79.297.20m_p.fastq,r.PS79.297.60m_p.fastq,r.PS79.298.20m_p.fastq,r.PS79.298.60m_p.fastq,r.PS79.300.20m_p.fastq,r.PS79.300.60m_p.fastq,r.PS79.302.20m_p.fastq,r.PS79.302.60m_p.fastq,r.PS79.304.20m_p.fastq,r.PS79.304.70m_p.fastq,r.PS79.306.20m_p.fastq,r.PS79.306.60m_p.fastq,r.PS79.307.20m_p.fastq,r.PS79.307.60m_p.fastq,r.PS79.308.20m_p.fastq,r.PS79.310.20m_p.fastq,r.PS79.311.20m_p.fastq,r.PS79.311.60m_p.fastq,r.PS79.312.20m_p.fastq,r.PS79.312.60m_p.fastq,r.PS79.313.20m_p.fastq,r.PS79.314.20m_p.fastq,r.PS79.314.60m_p.fastq,r.PS79.315.20m_p.fastq,r.PS79.315.60m_p.fastq,r.PS79.317.20m_p.fastq,r.PS79.317.60m_p.fastq,r.PS79.318.20m_p.fastq,r.PS79.318.50m_p.fastq,r.PS79.319.20m_p.fastq,r.PS79.319.60m_p.fastq,r.PS79.320.20m_p.fastq,r.PS79.320.60m_p.fastq,r.PS79.321.20m_p.fastq,r.PS79.321.60m_p.fastq,r.PS79.322.20m_p.fastq,r.PS79.322.60m_p.fastq,r.PS79.323.20m_p.fastq,r.PS79.323.60m_p.fastq,r.PS79.324.20m_p.fastq,r.PS79.324.60m_p.fastq,r.PS79.326.20m_p.fastq,r.PS79.326.60m_p.fastq,r.PS79.329.20m_p.fastq,r.PS79.329.60m_p.fastq,r.PS79.330.20m_p.fastq,r.PS79.330.60m_p.fastq
Prochlorococcus_MIT9313_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4023,84,5229,1352,297,772,6217,6307,8180,5298,8158,880,6614,6709,8139,4360,7168,8326,7610,6459,461,453,54,712,29,35,3,704,1637,728,446,0,1223,2287,712,7,0,16,9,0,0,0,0
Sphingomonas_2,0,0,0,0,0,0,0,0,0,0,0,7,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,15648,0,0,0,0,17330,0,9,2,0,0,0,3,0,0,6,12829
Prochlorococcus_MIT9313_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,1513,838,144,886,1631,2087,1749,1792,1633,198,1788,1730,1656,1198,2637,2571,2149,2053,475,181,32,302,17,6,0,361,620,213,0,0,458,964,371,11,0,24,10,0,0,0,0
Prochlorococcus_MIT9313_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,137,1348,0,598,2376,0,2104,0,103,0,42,0,0,0,19,7,6,0,0,16,0,33,10,24,0,72,0,0,0,35,0,0,0,377,2024,1105,7521,682,3941,1422,0,0,0,0
Clade_Ia_5,0,0,73,0,0,0,0,0,11,22,0,0,0,37,24,0,49,9,10,0,51,31,0,18,14,0,0,7,15,0,33,13,0,4,0,9,18,0,11,0,8,0,0,323,0,0,22,0,0,0,28,23,19,0,14,32,24,0,0,66,0
Clade_Ia_6,0,63,15,0,0,0,0,0,0,0,0,0,63,29,14,33,39,0,28,0,0,0,0,0,9,14,4,6,5,14,0,0,0,0,0,17,0,15,0,0,10,0,43,347,0,28,26,0,0,0,34,0,24,32,0,30,0,0,34,114,0
Clade_Ia_7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,11,0,27,0,0,0,14,0,0,11,17,0,44,9,16,6,0,0,0,0,4,0,0,0,0,815,0,0,14,0,0,0,34,11,0,0,0,18,6,0,0,49,0
Clade_Ia_8,24,0,25,0,0,0,0,0,0,0,0,0,78,42,14,25,58,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,11,18,0,0,0,35,9,14,10,9,0,0,0,47,295,0
Prochlorococcus_MIT9313_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,5,1323,0,1383,0,0,0,65,0,0,0,0,0,0,0,0,0,0,960,0,437,0,1349,31,0,36,995,0,0,0,136,27,614,403,118,644,3873,0,0,0,0
Synechococcus_CC9902_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,258,0,143,81,0,57,89,64,40,41,28,0,66,51,25,38,32,46,16,105,0,0,14,0,0,1658,0,2341,412,0,0,2,1052,296,0,94,0,0,0,0,0,0,0
