ID,Lon,Lat,Province,Cruise,Station,Depth [m],Bot. Depth [m],Pres [dbar],Salinity [psu],Fluorometer [V],Transmission [proz],pot.Temperature [┬░C],Sigma [kg m-3],Bac_all/ml,Bacterial Biomass Production per hour_[ng C/l/h],Bacterial Biomass Production per day_[microg C/l/d],Bacterial generation time (days)_[days],Glucose turnover rate _[per day],Glucose turnover time_[days],Amino acid turnover rate _[per day],Amino acid turnover time_[days],Chl a_mean chl a [microg/L],Dissolved Inorganic Nutrients_NO X ( microM),NO2 ( microM ),NO3 (microM ),PO4 ( microM ),Si  ( microM ),HNA/ml,LNA/ml,Bac_size [microm],HNA_size [microm],LNA_size [microm],Bac_SSC,HNA_SSC,LNA_SSC,Prokaryotes/ml,Picoplankton/ml,Nanoplankton/ml,Microplankton/ml,Eukaryotes/ml,Prokaryotes rel.microm,Pico rel.microm,Nano rel.microm,Micro rel.microm,Eukaryotes rel.microm,Prokaryotes SSC,Pico SSC,Nano SSC,Micro  SSC,Eukaryotes SSC,Syn/ml,Proc/ml,Syn_size [microm],Proc_size [microm],Syn SSC,Proc SSC,TPN[microg/l],POC [microg/l],Growth rate,DNA_div,DNA_ENS,RNA_div,RNA_ENS,MLD
178_20,-62.63333299999999,-56.169722,APLR,PS79,178,20,4013.4,20.0,33.9785,-0.725,97.75,6.9814,26.6167,850892.307692308,35.5278570224438,399948491709138.0,22.249763586942603,459503810473311.0,324670617564208.0,435184305006802.0,401087429499397.0,0.347246839360689,-37085504586716.3,0.262255709654031,28.8190969166524,181.10245281871002,-79697482877382.6,472365.384615385,371842.307692308,0.4836015293,0.4844749625,0.4825280429,1979.91,2030.61,1919.82,4601.78571428571,10189.2857142857,2298.21428571429,0.0,12310.714285714299,0.537255722057,0.740269138887,3.96421613886,0.0,1.8323055920599998,6044.15,12628.59,276980.15,0.0,62257.47,2689.28571428571,10419.6428571429,0.5441141393,0.6203040677,4075.94,9589.51,119548127986491.0,610550780594349.0,0.0753599153136509,1.8802428893163001,6.555096831834878,2.4456104440307302,11.537590502832764,0.0
178_40,-62.63333299999999,-56.169722,APLR,PS79,178,40,4013.4,41.0,33.9935,-0.725,99.5347,6.7209,26.6637,566203.846153846,27.378798714501,431719045398768.0,23.544159667564898,495729439605845.0,349637882519307.0,469745217869930.0,432054264606106.0,0.18156370570821803,-66743099625689.4,0.270074130650358,30.340035796940604,195.35915307231602,-120721976797320.0,285788.46153846197,275550.0,0.4838591681,0.48507336770000004,0.4829898629,1953.09,2200.46,1906.67,176.785714285714,3535.7142857142894,953.571428571429,0.0,4403.571428571429,0.533062741195,0.8714417984909999,4.001105516619999,0.0,1.99468060178,5752.03,17949.61,177207.12,0.0,52026.46,573.214285714286,0.0,0.5475708749,0.0,4075.94,0.0,617939070798457.0,290716289356351.0,0.0512539064009541,,,,,0.0
178_60,-62.63333299999999,-56.169722,APLR,PS79,178,60,4013.4,61.0,34.015,-0.725,100.4044,6.485,26.7119,384196.153846154,74.368166947722,248522633018180.0,16.080370383751,286844024572111.0,205670817563095.0,270458944581290.0,253492280771937.0,0.0836618173161287,104269501037596.0,0.224991294165967,21.5699479652672,113.151698825196,115834810323292.0,203288.461538462,177565.384615385,0.4839889421,0.48510747530000004,0.4826968265,1993.64,2066.01,1914.04,58.928571428571395,964.285714285714,428.571428571429,0.0,1398.21428571429,0.517306419005,0.9342887196349999,4.12378096462,0.0,2.30152989414,5786.82,20511.79,223690.78,0.0,82275.76,123.214285714286,0.0,0.6284967029,0.0,3891.32,0.0,331378902774304.0,180696136131883.0,0.19025476841809696,2.35100075762605,10.496068491077095,2.1870758411482902,8.909123296154933,0.0
178_100,-62.63333299999999,-56.169722,APLR,PS79,178,100,4013.4,101.0,34.0524,-0.725,100.7932,5.9945,26.8045,339434.615384615,54.0771246395928,327630871627865.0,19.3033986948607,377045339324073.0,267838961461195.0,356515138881649.0,330599271243050.0,0.0493214100031975,30422500199890.4,0.24445905414807603,25.3570647095328,148.650684976548,13684388723328.6,185519.230769231,150869.23076923098,0.48443868770000004,0.4855782221,0.4830405857,2029.59,2195.27,1930.84,53.571428571428605,487.5,310.714285714286,0.0,825.0,0.52148303918,1.66289845586,3.46770804102,0.0,2.3124221001400005,7984.8,35573.88,139017.16,0.0,74043.16,112.5,0.0,0.5236740377,0.0,3891.32,0.0,409340276382864.0,262785683199763.0,0.13023114013568401,,,,,0.0
178_200,-62.63333299999999,-56.169722,APLR,PS79,178,200,4013.4,202.0,34.1181,-0.725,100.8545,5.0689,26.9682,271996.153846154,80.6723551050945,223944633848863.0,15.0790134006436,258819537135557.0,186355906550799.0,243722297309132.0,229536045858175.0,0.0330843695889311,127212895520196.0,0.218942890142848,20.393335341468102,102.12258140995,147571744697684.0,160938.461538462,107969.230769231,0.4843943117,0.4853176421,0.48311169049999997,2036.73,2098.53,1955.1,48.21428571428571,160.714285714286,123.214285714286,0.0,273.214285714286,0.49933319792099995,1.7219041738599998,3.6938646340199996,0.0,2.59625529742,5156.33,111569.17,186452.83,0.0,138788.8,13696.6473582705,0.0,0.7097807770040708,0.0,4908.9009263323605,0.0,290588429197669.0,167706859111786.0,0.208903403654983,,,,,0.0
179_20,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,20,4279.2,20.0,33.7066,0.0495,99.9482,4.3917,26.7166,419184.615384615,13.5394176710958,324946024106298.0,15.842148162152,19683821416102.0,508031432952328.0,904773464293939.0,110524903687397.0,0.0782494705113733,24.389157360898498,0.33,24.0591573608985,144.0,3.66912627473139,271234.615384615,143846.153846154,0.49214499289999997,0.4930339061,0.4905433289,2360.45,2486.57,2269.77,64.28571428571429,316.071428571429,2266.0714285714303,5.35714285714286,2635.71428571429,0.498742974525,1.68411561194,4.1611442143,20.0790311831,3.8308190663,5125.08,25736.56,103351.81,4563032.0,92418.85,8564.02617146382,0.0,0.8269138942605301,0.0,5100.70455386606,0.0,714331259950995.0,382745832949877.0,0.0437533580335981,1.78094270374752,5.935449152190485,2.2928204103970398,9.902828371186793,0.0
179_60,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,60,4279.2,61.0,33.8571,0.1605,99.6874,2.244,27.0369,465300.0,11.905091507032099,285722196168771.0,19.324982776588303,266310525041379.0,375501493921286.0,750326260381719.0,133275356708329.0,0.172312325325055,25.9617559924662,0.29,25.671755992466196,192.0,11.5027380993641,270134.615384615,189961.538461538,0.4921433417,0.4930623893,0.4909036001,2220.02,2237.46,2198.9,101.785714285714,2753.5714285714303,1403.57142857143,0.0,4076.7857142857106,0.531929053969,0.998201665984,4.04479314582,0.0,2.4264259099000003,5778.95,25232.21,80183.7,0.0,43848.04,9697.62430758345,0.0,0.801043704630889,0.0,5058.34252737713,0.0,752578605897725.0,35359977632761.0,0.0358679326431108,0.24245287505112498,1.2743711930710375,1.90532827160668,6.721613780461664,0.0
179_100,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,100,4279.2,101.0,33.9251,0.2012,99.8519,1.1093,27.1741,362576.92307692295,13.0596154944899,313430771867758.0,14.167934147669001,403883260726263.0,247596297554348.0,21776972760111.0,459200647865854.0,0.21225171209118102,27.9597392091021,0.33,27.6297392091021,19.0,19.2049754014432,241069.230769231,117869.230769231,0.4928909225,0.4936606913,0.4914604157,2148.24,2161.25,2141.92,48.21428571428571,4141.071428571429,878.571428571429,0.0,4853.571428571429,0.500235254979,1.6693580346599999,3.67162912542,0.0,2.00124658646,7415.44,23443.06,63762.27,0.0,30465.75,10502.5037478534,0.0,0.7826753048555849,0.0,5028.26456316502,0.0,591582269407809.0,295513671636581.0,0.0489236591118675,,,,,0.0
179_200,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,200,4279.2,202.0,34.1074,-0.0229,100.9719,1.6813,27.2806,176169.230769231,2.77385633350245,665725520040588.0,63.3188304064715,449429878444034.0,222504120879121.0,1095487958969.0,912835227272727.0,0.00734772736907665,30.6606141505456,0.02,30.640614150545602,214.0,31.696207513971896,111861.538461538,62319.2307692308,0.4864919549,0.4873879889,0.4849963289,2096.8,2363.14,1960.52,37.5,58.928571428571395,42.8571428571429,0.0,101.785714285714,0.487855840519,1.7841151420200003,4.158365262099999,0.0,2.78379942222,6366.43,153644.0,147142.25,0.0,150906.42,9866.01728715543,0.0,0.7972007569627321,0.0,5052.04976133078,0.0,127813839935698.0,67513625882566.0,0.0109469359448102,,,,,0.0
179_500,-59.86666700000001,-57.983332999999995,ANTA,PS79,179,500,4279.2,506.0,34.4617,-0.0229,101.164,2.496,27.4998,124046.153846154,0.307373269388109,335503810490401.0,394.65108800623494,386022273317843.0,274026003477412.0,365079545931742.0,338273043691055.0,0.864293032464533,34.6307794824955,0.0,34.6307794824955,233.0,66.64177085757089,76365.3846153846,45565.3846153846,0.4914455033,0.4921359629,0.49037052049999996,2038.12,2048.2,2037.75,26.785714285714302,26.785714285714302,10.7142857142857,0.0,42.8571428571429,0.48910333,1.8568576983,3.1796010731,0.0,2.13585910366,7890.2,186805.0,369586.0,0.0,210587.12,10219.4069525653,0.0,0.7891359433696149,0.0,5038.843756583579,0.0,275879726532570.0,352203886670862.0,0.00175635441438082,,,,,0.0
