ANT 28-4,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,OLD,NEW,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0,Unnamed: 38_level_0,Unnamed: 39_level_0,Unnamed: 40_level_0,Unnamed: 41_level_0,Unnamed: 42_level_0,Unnamed: 43_level_0,Unnamed: 44_level_0,Unnamed: 45_level_0,Unnamed: 46_level_0,Unnamed: 47_level_0,Unnamed: 48_level_0,Unnamed: 49_level_0,Unnamed: 50_level_0,Unnamed: 51_level_0,Unnamed: 52_level_0,Unnamed: 53_level_0,Unnamed: 54_level_0,Unnamed: 55_level_0,Unnamed: 56_level_0,Unnamed: 57_level_0,Unnamed: 58_level_0,Unnamed: 59_level_0,Unnamed: 60_level_0,Unnamed: 61_level_0,Unnamed: 62_level_0,Unnamed: 63_level_0,Unnamed: 64_level_0,Unnamed: 65_level_0,Unnamed: 66_level_0,Unnamed: 67_level_0,Unnamed: 68_level_0,Unnamed: 69_level_0,Unnamed: 70_level_0,Unnamed: 71_level_0,Unnamed: 72_level_0,Unnamed: 73_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Bacterial cells,Unnamed: 18_level_1,Bacterial Biomass Production per hour,Bacterial Biomass Production per day,Bacterial generation time (days),Glucose turnover rate ,Glucose turnover time,Amino acid turnover rate ,Amino acid turnover time,Chl a,Unnamed: 27_level_1,Unnamed: 28_level_1,Dissolved Inorganic Nutrients,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1,Unnamed: 60_level_1,Unnamed: 61_level_1,Unnamed: 62_level_1,Unnamed: 63_level_1,Unnamed: 64_level_1,Unnamed: 65_level_1,Unnamed: 66_level_1,Unnamed: 67_level_1,Unnamed: 68_level_1,Unnamed: 69_level_1,Unnamed: 70_level_1,Unnamed: 71_level_1,Unnamed: 72_level_1,Unnamed: 73_level_1
Cruise,Station,Station,Depth [m],Type,day/mon/yr,time (UTC),Lon (°W),Lat (°S),Bot. Depth [m],Depth [m],Pres [dbar],Salinity [psu],Fluorometer [V],Transmission [proz],pot.Temperature [°C],Sigma [kg m-3],Bac [cells/ml],Bac_All/ml,[ng C/l/h],[µg C/l/d],[days],[per day],[days],[per day],[days],mean chl a [µg/L],sd [µg/L],cv [%],NO X ( µM),NO2 ( µM ),NO3 (µM ),PO4 ( µM ),Si  ( µM ),Unnamed: 34_level_2,counts/ml,Bac_All/ml,HNA/ml,LNA/ml,Bac_size [µm],HNA_size [µm],LNA_size [µm],Bac_SSC,HNA_SSC,LNA_SSC,counts/ml,Prokaryotes/ml,Pico/ml,Nano/ml,Micro/ml,Eukaryotes/ml,Prokaryotes rel.µm,Pico rel.µm,Nano rel.µm,Micro rel.µm,Eukaryotes rel.µm,Prokaryotes SSC,Pico SSC,Nano SSC,Micro  SSC,Eukaryotes SSC,Syn/ml,Proc/ml,Syn_size [µm],Proc_size [µm],Syn SSC,Proc SSC,Unnamed: 67_level_2,Unnamed: 68_level_2,Unnamed: 69_level_2,Bemerkungen,TPN[µg/l],POC [µg/l],Depth [m]
43.0,29.0,,,,22.0,24.0,,,,,,,,69.0,,41.0,30.0,2.0,,52.0,7.0,5.0,,,6.0,,2.0,,76.0,,70.0,2.0,44.0,48.0,4.0,80.0,,,13.0,,15.0,79.0,44.0,,14.0,37.0,27.0,86.0,34.0,58.0,,,,22.0,12.0,85.0,40.0,,57.0,70.0,20.0,73.0,,,,94.0,,44.0,53.0,67.0,,,
12.0,,,11.0,13.0,1.0,53.0,18.0,,,14.0,79.0,32.0,,,,86.0,7.0,94.0,31.0,60.0,91.0,51.0,,,,,53.0,,,0.0,,49.0,25.0,98.0,,34.0,2.0,,51.0,,,48.0,91.0,55.0,,29.0,80.0,,12.0,,36.0,91.0,,,44.0,,6.0,,54.0,,91.0,71.0,12.0,,,,44.0,,,38.0,30.0,69.0,8.0
,13.0,,,,65.0,49.0,,95.0,34.0,31.0,50.0,,61.0,,,,,50.0,43.0,47.0,46.0,,,,11.0,56.0,,29.0,,,,6.0,,,,,,,73.0,5.0,,57.0,,90.0,42.0,,86.0,,,,,,61.0,46.0,38.0,18.0,,,98.0,58.0,99.0,69.0,72.0,88.0,,49.0,73.0,,21.0,86.0,95.0,,
87.0,16.0,83.0,8.0,,,20.0,,,93.0,5.0,6.0,70.0,8.0,,,,65.0,5.0,,,95.0,,66.0,61.0,12.0,37.0,63.0,,,,33.0,83.0,,,80.0,,45.0,,73.0,82.0,78.0,,23.0,59.0,98.0,24.0,,96.0,,,,,36.0,,92.0,,57.0,57.0,21.0,,,45.0,97.0,6.0,53.0,,44.0,,51.0,88.0,,,91.0
0.0,53.0,91.0,25.0,50.0,,48.0,,,16.0,43.0,,43.0,,47.0,55.0,,57.0,,26.0,33.0,77.0,13.0,37.0,15.0,7.0,41.0,,,4.0,48.0,,44.0,10.0,91.0,,,,39.0,,17.0,67.0,,,45.0,83.0,11.0,71.0,0.0,85.0,74.0,26.0,,,50.0,,14.0,,,,73.0,,,,,69.0,,,92.0,,51.0,,,
,,,41.0,,74.0,,69.0,,41.0,42.0,14.0,93.0,,12.0,,87.0,,,84.0,32.0,,,,93.0,,,,62.0,,97.0,,,,55.0,90.0,,,,22.0,,36.0,33.0,,,28.0,60.0,,96.0,,,67.0,85.0,92.0,70.0,75.0,21.0,,5.0,37.0,,53.0,25.0,37.0,74.0,24.0,,,31.0,,50.0,,22.0,2.0
,85.0,66.0,,,,,76.0,95.0,,,,68.0,,,,,89.0,74.0,70.0,97.0,,,,71.0,,,,,6.0,64.0,55.0,76.0,,,,,48.0,,75.0,,,77.0,,,67.0,,89.0,,,,,22.0,,59.0,52.0,10.0,54.0,5.0,61.0,97.0,25.0,,,,,,44.0,,4.0,75.0,11.0,,
85.0,,61.0,,38.0,53.0,,27.0,,89.0,,1.0,,51.0,38.0,50.0,38.0,8.0,62.0,,77.0,,,94.0,,,57.0,79.0,,0.0,0.0,17.0,,,33.0,,55.0,,,61.0,54.0,,,84.0,29.0,,48.0,,,,61.0,,21.0,66.0,,75.0,24.0,,,,24.0,59.0,50.0,,23.0,,13.0,,51.0,,,,,
